date,precipitation,snowfall,snowdepth,avgwindspeed,weather,avgtemperature,avgtemperature_comaprision
2009-01-02,0.05,0.0,0.0,6.26,fog,34.5,less than global average
2009-01-18,0.0,0.0,0.0,10.51,fog,36.5,less than global average
2009-02-10,0.0,0.0,0.0,10.51,fog,60.5,less than global average
2009-02-19,0.0,0.0,0.0,10.29,fog,46.0,less than global average
2009-03-01,1.38,0.0,0.0,12.75,fog,36.5,less than global average
2009-03-02,0.3,3.2,3.0,6.93,fog,29.0,less than global average
2009-03-14,0.73,0.0,0.0,4.92,fog,41.5,less than global average
2009-03-15,0.87,0.0,0.0,2.46,fog,46.0,less than global average
2009-03-16,0.41,0.0,0.0,3.8,fog,49.0,less than global average
2009-03-28,0.91,0.0,0.0,5.37,fog,66.0,more than global average
2009-04-02,0.33,0.0,0.0,7.38,fog,61.5,less than global average
2009-04-15,0.0,0.0,0.0,8.72,fog,56.5,less than global average
2009-04-20,0.36,0.0,0.0,10.29,fog,69.0,more than global average
2009-05-01,0.07,0.0,0.0,12.97,fog,74.5,more than global average
2009-05-29,0.0,0.0,0.0,7.16,fog,78.0,more than global average
2009-06-02,0.0,0.0,0.0,6.71,fog,80.0,more than global average
2009-06-15,0.04,0.0,0.0,5.59,fog,76.5,more than global average
2009-06-17,0.05,0.0,0.0,7.38,fog,74.0,more than global average
2009-06-20,0.0,0.0,0.0,7.61,fog,85.0,more than global average
2009-07-01,0.04,0.0,0.0,5.14,fog,81.0,more than global average
2009-07-17,0.27,0.0,0.0,8.05,fog,85.0,more than global average
2009-07-22,0.0,0.0,0.0,5.14,fog,80.0,more than global average
2009-07-23,0.0,0.0,0.0,5.59,fog,82.5,more than global average
2009-08-06,0.23,0.0,0.0,2.68,fog,77.5,more than global average
2009-08-19,0.0,0.0,0.0,9.84,fog,85.5,more than global average
2009-08-25,0.0,0.0,0.0,3.36,fog,78.0,more than global average
2009-08-26,0.0,0.0,0.0,3.36,fog,81.0,more than global average
2009-08-27,0.0,0.0,0.0,4.7,fog,82.0,more than global average
2009-09-08,0.0,0.0,0.0,8.05,fog,74.0,more than global average
2009-09-10,0.0,0.0,0.0,5.82,fog,65.5,more than global average
2009-09-12,0.0,0.0,0.0,3.13,fog,73.5,more than global average
2009-09-18,0.0,0.0,0.0,2.01,fog,71.0,more than global average
2009-09-22,1.45,0.0,0.0,4.25,fog,72.5,more than global average
2009-09-24,0.0,0.0,0.0,3.36,fog,80.5,more than global average
2009-09-25,0.02,0.0,0.0,6.26,fog,69.5,more than global average
2009-09-28,0.22,0.0,0.0,8.28,fog,70.5,more than global average
2009-10-04,0.0,0.0,0.0,2.68,fog,62.0,less than global average
2009-10-05,0.09,0.0,0.0,2.01,fog,62.0,less than global average
2009-10-15,0.07,0.0,0.0,3.58,fog,50.0,less than global average
2009-11-09,0.0,0.0,0.0,0.89,fog,59.0,less than global average
2009-11-13,0.03,0.0,0.0,11.41,fog,51.5,less than global average
2009-11-14,0.01,0.0,0.0,4.47,fog,57.5,less than global average
2009-11-15,0.0,0.0,0.0,0.0,fog,58.5,less than global average
2009-11-19,0.01,0.0,0.0,5.14,fog,65.5,more than global average
2009-11-23,0.58,0.0,0.0,6.26,fog,50.5,less than global average
2009-12-07,0.0,0.0,0.0,1.79,fog,39.0,less than global average
2009-12-08,0.45,0.0,0.0,6.49,fog,39.5,less than global average
2010-01-16,0.02,0.0,0.0,1.57,fog,46.0,less than global average
2010-01-30,0.61,3.6,3.0,10.29,fog,23.5,less than global average
2010-02-06,0.02,0.0,0.0,6.26,fog,33.5,less than global average
2010-02-10,0.0,0.0,0.0,13.42,fog,33.0,less than global average
2010-03-03,0.12,0.6,1.0,6.04,fog,38.5,less than global average
2010-03-10,0.16,0.0,0.0,8.05,fog,59.5,less than global average
2010-03-11,0.32,0.0,0.0,4.47,fog,60.5,less than global average
2010-03-12,0.09,0.0,0.0,6.71,fog,60.5,less than global average
2010-03-13,0.42,0.0,0.0,8.28,fog,58.5,less than global average
2010-04-14,0.0,0.0,0.0,7.61,fog,49.0,less than global average
2010-05-15,0.0,0.0,0.0,4.47,fog,81.5,more than global average
2010-06-01,0.29,0.0,0.0,6.49,fog,77.0,more than global average
2010-06-02,0.01,0.0,0.0,4.7,fog,79.5,more than global average
2010-06-15,0.01,0.0,0.0,2.46,fog,83.0,more than global average
2010-06-26,0.0,0.0,0.0,5.37,fog,85.0,more than global average
2010-07-13,0.38,0.0,0.0,7.16,fog,82.5,more than global average
2010-07-20,0.64,0.0,0.0,7.61,fog,85.5,more than global average
2010-07-23,0.0,0.0,0.0,5.82,fog,88.0,more than global average
2010-07-29,0.46,0.0,0.0,5.59,fog,85.5,more than global average
2010-07-30,0.0,0.0,0.0,5.59,fog,81.0,more than global average
2010-08-04,0.39,0.0,0.0,8.05,fog,84.5,more than global average
2010-08-11,0.41,0.0,0.0,6.71,fog,88.0,more than global average
2010-08-13,0.0,0.0,0.0,7.16,fog,81.0,more than global average
2010-08-21,0.0,0.0,0.0,3.36,fog,78.5,more than global average
2010-08-25,0.05,0.0,0.0,2.24,fog,73.5,more than global average
2010-08-27,0.0,0.0,0.0,2.91,fog,79.0,more than global average
2009-01-05,0.0,0.0,0.0,5.82,fog,56.5,less than global average
2010-08-30,0.0,0.0,0.0,1.79,fog,81.5,more than global average
2010-09-01,0.0,0.0,0.0,2.91,fog,82.0,more than global average
2009-01-11,0.06,0.0,0.0,6.26,fog,49.0,less than global average
2009-01-28,0.42,0.0,0.0,9.17,fog,54.5,less than global average
2010-10-17,0.0,0.0,0.0,3.8,fog,59.0,less than global average
2010-10-26,0.53,0.0,0.0,10.07,fog,72.5,more than global average
2009-02-27,0.03,0.0,0.0,9.62,fog,62.5,less than global average
2010-11-17,0.09,0.0,0.0,7.16,fog,52.5,less than global average
2010-11-22,0.0,0.0,0.0,4.25,fog,58.0,less than global average
2009-03-17,0.0,0.0,0.0,7.38,fog,52.5,less than global average
2009-03-18,0.0,0.0,0.0,4.92,fog,55.5,less than global average
2009-03-19,0.64,0.0,0.0,10.07,fog,60.5,less than global average
2010-11-30,0.01,0.0,0.0,11.86,fog,60.5,less than global average
2009-03-26,0.43,0.0,0.0,5.37,fog,57.5,less than global average
2010-12-05,0.0,0.0,0.0,6.93,fog,35.0,less than global average
2009-03-27,0.62,0.0,0.0,3.36,fog,62.5,less than global average
2009-03-29,0.0,0.0,0.0,17.45,fog,63.5,less than global average
2009-04-06,0.46,0.0,0.0,11.18,fog,59.5,less than global average
2010-12-18,0.01,0.0,0.0,4.92,fog,34.0,less than global average
2009-04-10,0.35,0.0,0.0,10.74,fog,66.0,more than global average
2010-12-26,0.5,6.7,3.0,7.16,fog,29.5,less than global average
2009-04-30,0.0,0.0,0.0,5.59,fog,65.5,more than global average
2011-01-02,0.17,0.0,0.0,7.38,fog,49.5,less than global average
2009-05-05,0.98,0.0,0.0,5.14,fog,66.5,more than global average
2011-01-17,0.03,0.0,0.0,7.16,fog,38.0,less than global average
2009-05-12,0.0,0.0,0.0,3.36,fog,61.5,less than global average
2009-05-16,0.01,0.0,0.0,9.62,fog,78.5,more than global average
2009-05-25,0.13,0.0,0.0,5.37,fog,75.0,more than global average
